ID_Transacao,Data_Venda,ID_Cliente,Cidade_Cliente,Nome_Produto,Categoria_Produto,Metodo_Pagamento,Valor_Unitario,Quantidade,Valor_Total
T000001,2023-09-25,C0782,São Paulo,Carregador Portátil,Acessórios,Boleto,2267.89,3,6803.67
T000002,2024-10-30,C0234,São Paulo,Monitor,Informática,Pix,620.05,1,620.05
T000003,2023-03-10,C0213,Fortaleza,Fone Bluetooth,Acessórios,Boleto,1709.69,4,6838.76
T000004,2024-10-27,C0712,Porto Alegre,Smartphone,Telefonia,Cartão de Crédito,1931.92,1,1931.92
T000005,2023-02-03,C0313,Salvador,Cadeira Gamer,Móveis,Cartão de Débito,2025.77,3,6077.31
T000006,2023-04-02,C0872,,Teclado Mecânico,Periféricos,Cartão de Débito,1265.11,1,1265.11
T000007,2023-02-19,C0344,Belo Horizonte,Mouse Gamer,Periféricos,Cartão de Débito,34.4,5,172.0
T000008,2024-08-05,C0214,Recife,Carregador Portátil,Acessórios,Boleto,2455.01,5,12275.05
T000009,2024-01-27,C1013,Campinas,Carregador Portátil,Acessórios,Boleto,4315.71,5,21578.55
T000010,2023-07-05,C0361,Brasília,Tablet,Telefonia,Pix,3593.76,2,7187.52
T000011,2023-09-22,C0894,Belo Horizonte,Teclado Mecânico,Periféricos,Boleto,,3,
T000012,2024-07-14,C0716,Campinas,Monitor,Informática,Cartão de Débito,2854.28,5,14271.4
T000013,2024-12-01,C0849,São Paulo,Monitor,Informática,Pix,470.89,1,470.89
T000014,2023-02-15,C0802,Porto Alegre,Tablet,Telefonia,Boleto,1820.49,4,7281.96
T000015,2024-03-16,C0990,Belo Horizonte,Monitor,Informática,Boleto,974.22,1,974.22
T000016,2023-04-12,C0134,Porto Alegre,Notebook,Informática,Pix,401.3,1,401.3
T000017,2024-08-02,C0382,Rio de Janeiro,Tablet,Telefonia,Cartão de Débito,358.57,1,358.57
T000018,2023-06-03,C0128,Brasília,Carregador Portátil,Acessórios,Pix,2097.06,3,6291.18
T000019,2024-04-18,C1160,Recife,Teclado Mecânico,Periféricos,Cartão de Débito,2476.59,3,7429.77
T000020,2023-08-25,C0325,Fortaleza,Notebook,Informática,Pix,325.48,5,1627.4
T000021,2024-10-12,C1130,Salvador,Mouse Gamer,Periféricos,Boleto,2587.21,1,2587.21
T000022,2023-03-23,C0847,Curitiba,Webcam,Periféricos,Cartão de Débito,1104.42,1,1104.42
T000023,2024-06-05,C0543,Curitiba,Mouse Gamer,Periféricos,Pix,3089.11,4,12356.44
T000024,2023-01-15,C1115,Fortaleza,Fone Bluetooth,Acessórios,Pix,86.04,1,86.04
T000025,2024-05-20,C0018,Rio de Janeiro,Webcam,Periféricos,Boleto,3664.48,1,3664.48
T000026,2024-01-31,C0796,Campinas,Tablet,Telefonia,Boleto,33.41,3,100.23
T000027,2023-01-14,C0151,Porto Alegre,Fone Bluetooth,Acessórios,Cartão de Débito,2158.37,2,4316.74
T000028,2023-03-15,C0087,Porto Alegre,Cadeira Gamer,Móveis,Pix,638.8,5,3194.0
T000029,2023-05-11,C0329,Curitiba,Tablet,Telefonia,Boleto,4711.36,3,14134.08
T000030,2023-05-08,C0134,Brasília,Mouse Gamer,Periféricos,Pix,3876.51,1,3876.51
T000031,2024-04-26,C0566,Porto Alegre,Fone Bluetooth,Acessórios,Pix,1186.97,1,1186.97
T000032,2023-03-29,C0035,Curitiba,Monitor,Informática,Cartão de Crédito,4482.91,1,4482.91
T000033,2023-04-24,C0680,Curitiba,Webcam,Periféricos,Pix,3782.71,1,3782.71
T000034,2023-06-29,C0153,Brasília,Tablet,Telefonia,Boleto,1032.79,5,5163.95
T000035,2023-08-11,C0855,Rio de Janeiro,Cadeira Gamer,Móveis,Pix,2698.8,1,2698.8
T000036,2024-01-02,C0309,Fortaleza,Fone Bluetooth,Acessórios,Cartão de Débito,3788.64,2,7577.28
T000037,2023-06-12,C0879,São Paulo,Cadeira Gamer,Móveis,Cartão de Crédito,4701.57,2,9403.14
T000038,2023-05-17,C0146,Belo Horizonte,Webcam,Periféricos,Boleto,3557.07,3,10671.21
T000039,2024-11-16,C0013,Campinas,Teclado Mecânico,Periféricos,Pix,3264.89,4,13059.56
T000040,2024-11-08,C1150,Porto Alegre,Teclado Mecânico,Periféricos,Pix,1175.27,3,3525.81
